Name,SMILES
Amigdalin,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O
Fenfuram,Cc1occc1C(=O)Nc2ccccc2
citral,CC(C)=CCCC(C)=CC(=O)
Picene,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43
Thiophene,c1ccsc1
benzothiazole,c2ccc1scnc1c2
"2,2,4,6,6'-PCB",Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl
Estradiol,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O
Dieldrin,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
Rotenone,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C
2-pyrrolidone,O=C1CCCN1
2-Chloronapthalene,Clc1ccc2ccccc2c1
1-Pentene,CCCC=C
Primidone,CCC1(C(=O)NCNC1=O)c2ccccc2
Tetradecane,CCCCCCCCCCCCCC
2-Chloropropane,CC(C)Cl
2-Methylbutanol,CCC(C)CO
Benzonitrile,N#Cc1ccccc1
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C
2-Undecanol,CCCCCCCCCC(C)O
"2,2',3,4,6-PCB",Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl
Lenacil,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3
Phorate,CCOP(=S)(OCC)SCSCC
Phenacetin,CCOc1ccc(NC(=O)C)cc1
Dinitramine,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O
1-Heptanol,CCCCCCCO
Theophylline,Cn1c(=O)n(C)c2nc[nH]c2c1=O
Butethal,CCCCC1(CC)C(=O)NC(=O)NC1=O
"P,P'-DDE",ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
Methyl octanoate,CCCCCCCC(=O)OC
"1,4-Diethylbenzene",CCc1ccc(CC)cc1
Terbufos,CCOP(=S)(OCC)SCSC(C)(C)C
Phenmedipham,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1
"1,1-Dichloroethylene",ClC(=C)Cl
1-Methylfluorene,Cc1cccc2c1Cc3ccccc32
Valeraldehyde,CCCCC=O
Diphenylamine,N(c1ccccc1)c2ccccc2
Fenothiocarb,CN(C)C(=O)SCCCCOc1ccccc1
Piperophos,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C
1-Iodoheptane,CCCCCCCI
3-Chlorobiphenyl,c1c(Cl)cccc1c2ccccc2
4-Pentene-1-ol,OCCCC=C
Cyclobutyl-5-spirobarbituric acid,O=C2NC(=O)C1(CCC1)C(=O)N2
menthol,CC(C)C1CCC(C)CC1O
Isopropyl formate,CC(C)OC=O
2-Heptanol,CCCCCC(C)O
p-Bromoacetanilide,CC(=O)Nc1ccc(Br)cc1
brompyrazone,c1ccccc1n2ncc(N)c(Br)c2(=O)
nifedipine,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C
"2,7-dimethylquinoline",c2c(C)cc1nc(C)ccc1c2
1-Octyne,CCCCCCC#C
cyclobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2
Chrysene,c1ccc2c(c1)ccc3c4ccccc4ccc23
Bromacil,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O
"2,2',3,3',5,6-PCB",Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl
2-Methylphenol,Cc1ccccc1O
"2,2,5-Trimethylhexane",CC(C)CCC(C)(C)C
"1,4-Dimethylnaphthalene",Cc1ccc(C)c2ccccc12
6-Methylchrysene,Cc1cc2c3ccccc3ccc2c4ccccc14
2-Pentanone,CCCC(=O)C
"2,2',3,3',5,5',6,6'-PCB",Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl
Methyl butyrate,CCCOC(=O)CC
Triamcinolone,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO
p-Aminophenol,Nc1ccc(O)cc1
Benznidazole,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2
"Atovaquone(0,430mg/ml) - neutral",OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O
Trietazine,CCNc1nc(Cl)nc(n1)N(CC)CC
Pyrazinamide,NC(=O)c1cnccn1
Carbromal,CCC(Br)(CC)C(=O)NC(N)=O
"2,2'-PCB",Clc1ccccc1c2ccccc2Cl
nitrofurantoin,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2
Nitrofen,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2
Camphor,CC1(C)C2CCC1(C)C(=O)C2
5-Allyl-5-phenylbarbital,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1
Pentyl propanoate,CCCCC(=O)OCC
Isopentyl acetate,CC(C)CCOC(=O)C
3-Hexanoyloxymethylphenyltoin,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
"2,3',5-PCB",Clc1cccc(c1)c2cc(Cl)ccc2Cl
1-Bromopropane,CCCBr
Propiconazole,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl
Formothion,COP(=S)(OC)SCC(=O)N(C)C=O
4-methylpteridine,Cc1ncnc2nccnc12
Thiourea,NC(=S)N
p-Xylene,Cc1ccc(C)cc1
"1,2-Diethylbenzene",CCc1ccccc1CC
Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl
Flucythrinate,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3
1-Nitropropane,CCCN(=O)=O
Menthone,CC(C)C1CCC(C)CC1=O
RTI 24,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23
"2,3-Dichloronitrobenzene",O=N(=O)c1c(Cl)c(Cl)ccc1
thiamylal,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O
Fluoranthene,c1ccc2c(c1)c3cccc4cccc2c34
Propylisopropylether,CCCOC(C)C
"1,3-Dimethylnaphthalene",Cc1cc(C)c2ccccc2c1
diethylstilbestrol,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2
Chlorothalonil,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1
"2,3',4',5-PCB",Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2
styrene oxide,C1OC1c2ccccc2
Isopropylbenzene,CC(C)c1ccccc1
